Month,index
2004-01,43
2004-02,54
2004-03,67
2004-04,73
2004-05,100
2004-06,66
2004-07,33
2004-08,42
2004-09,58
2004-10,54
2004-11,55
2004-12,52
2005-01,42
2005-02,45
2005-03,57
2005-04,59
2005-05,49
2005-06,39
2005-07,27
2005-08,40
2005-09,59
2005-10,38
2005-11,42
2005-12,38
2006-01,37
2006-02,39
2006-03,41
2006-04,44
2006-05,45
2006-06,30
2006-07,22
2006-08,20
2006-09,33
2006-10,51
2006-11,36
2006-12,35
2007-01,37
2007-02,28
2007-03,31
2007-04,31
2007-05,34
2007-06,23
2007-07,18
2007-08,19
2007-09,39
2007-10,29
2007-11,53
2007-12,41
2008-01,33
2008-02,34
2008-03,38
2008-04,40
2008-05,56
2008-06,55
2008-07,31
2008-08,25
2008-09,56
2008-10,57
2008-11,47
2008-12,60
2009-01,33
2009-02,31
2009-03,39
2009-04,30
2009-05,30
2009-06,22
2009-07,17
2009-08,16
2009-09,21
2009-10,21
2009-11,24
2009-12,23
2010-01,20
2010-02,21
2010-03,24
2010-04,23
2010-05,23
2010-06,18
2010-07,12
2010-08,12
2010-09,16
2010-10,19
2010-11,20
2010-12,18
2011-01,21
2011-02,26
2011-03,29
2011-04,28
2011-05,25
2011-06,24
2011-07,13
2011-08,13
2011-09,17
2011-10,18
2011-11,18
2011-12,17
2012-01,18
2012-02,20
2012-03,23
2012-04,21
2012-05,21
2012-06,19
2012-07,15
2012-08,13
2012-09,16
2012-10,16
2012-11,15
2012-12,15
2013-01,16
2013-02,17
2013-03,16
2013-04,19
2013-05,21
2013-06,13
2013-07,10
2013-08,10
2013-09,14
2013-10,14
2013-11,15
2013-12,14
2014-01,14
2014-02,16
2014-03,15
2014-04,16
2014-05,18
2014-06,15
2014-07,10
2014-08,9
2014-09,13
2014-10,27
2014-11,64
2014-12,52
2015-01,40
2015-02,29
2015-03,23
2015-04,24
2015-05,23
2015-06,24
2015-07,17
2015-08,19
2015-09,21
2015-10,23
2015-11,25
2015-12,45
2016-01,40
2016-02,48
2016-03,29
2016-04,40
2016-05,26
2016-06,22
2016-07,11
2016-08,16
2016-09,39
2016-10,31
2016-11,67
2016-12,44
2017-01,24
2017-02,22
2017-03,25
2017-04,23
2017-05,35
2017-06,16
2017-07,14
2017-08,14
2017-09,16
2017-10,16
2017-11,25
2017-12,14
2018-01,15
2018-02,16
2018-03,16
2018-04,23
2018-05,25
2018-06,27
2018-07,12
2018-08,11
2018-09,17
2018-10,16
2018-11,25
2018-12,41
2019-01,18
2019-02,18
2019-03,18
2019-04,22
2019-05,21
2019-06,12
2019-07,12
2019-08,11
2019-09,14
2019-10,14
2019-11,15
2019-12,18
2020-01,16
2020-02,21
2020-03,51
2020-04,96
2020-05,18
2020-06,24
2020-07,12
2020-08,10
2020-09,14
2020-10,12
2020-11,17
2020-12,16
2021-01,17
2021-02,17
2021-03,24
2021-04,16
2021-05,13
2021-06,13
2021-07,24
2021-08,13
2021-09,14
2021-10,19
2021-11,23
2021-12,14
2022-01,17
2022-02,26
2022-03,45
2022-04,25
2022-05,22
2022-06,27
2022-07,17
2022-08,16
2022-09,19
2022-10,63
2022-11,24
2022-12,19
2023-01,18
2023-02,20
2023-03,20
2023-04,30
2023-05,20
2023-06,21
2023-07,10
2023-08,11
2023-09,14
2023-10,17
