Date,CPI,CPI index
01/01/1980,,
01/02/1980,,38.58
01/03/1980,,39.13
01/04/1980,,39.58
01/05/1980,,39.88
01/06/1980,,40.33
01/07/1980,,40.23
01/08/1980,,40.47
01/09/1980,,40.87
01/10/1980,,41.32
01/11/1980,,41.77
01/12/1980,,42.27
01/01/1981,,42.52
01/02/1981,10.84,42.76
01/03/1981,9.92,43.01
01/04/1981,9.43,43.31
01/05/1981,9.61,43.71
01/06/1981,9.38,44.11
01/07/1981,11.14,44.71
01/08/1981,11.56,45.15
01/09/1981,11.81,45.7
01/10/1981,10.96,45.85
01/11/1981,10.25,46.05
01/12/1981,9.54,46.3
01/01/1982,9.25,46.45
01/02/1982,9.2,46.7
01/03/1982,8.68,46.75
01/04/1982,8.85,47.15
01/05/1982,8.66,47.49
01/06/1982,8.47,47.84
01/07/1982,7.68,48.14
01/08/1982,7.06,48.34
01/09/1982,5.88,48.39
01/10/1982,5.86,48.54
01/11/1982,5.19,48.44
01/12/1982,4.52,48.39
01/01/1983,4.61,48.59
01/02/1983,4.48,48.79
01/03/1983,4.58,48.89
01/04/1983,4.12,49.09
01/05/1983,3.67,49.24
01/06/1983,3.23,49.39
01/07/1983,3.21,49.68
01/08/1983,3.09,49.83
01/09/1983,3.4,50.03
01/10/1983,3.59,50.28
01/11/1983,4.32,50.53
01/12/1983,4.73,50.68
01/01/1984,5.02,51.03
01/02/1984,4.9,51.18
01/03/1984,5.09,51.38
01/04/1984,5.17,51.63
01/05/1984,5.26,51.83
01/06/1984,5.34,52.02
01/07/1984,5.21,52.27
01/08/1984,5.29,52.47
01/09/1984,5.27,52.67
01/10/1984,5.15,52.87
01/11/1984,4.83,52.97
01/12/1984,4.91,53.17
01/01/1985,4.49,53.32
01/02/1985,4.77,53.62
01/03/1985,4.75,53.82
01/04/1985,4.53,53.97
01/05/1985,4.51,54.17
01/06/1985,4.4,54.31
01/07/1985,4.19,54.46
01/08/1985,4.17,54.66
01/09/1985,3.97,54.76
01/10/1985,4.05,55.01
01/11/1985,4.42,55.31
01/12/1985,4.31,55.46
01/01/1986,4.48,55.71
01/02/1986,4.18,55.86
01/03/1986,4.07,56.01
01/04/1986,4.15,56.21
01/05/1986,3.95,56.31
01/06/1986,3.94,56.46
01/07/1986,4.02,56.65
01/08/1986,4.01,56.85
01/09/1986,4.18,57.05
01/10/1986,4.07,57.25
01/11/1986,3.78,57.4
01/12/1986,3.77,57.55
01/01/1987,3.57,57.7
01/02/1987,3.57,57.85
01/03/1987,3.64,58.05
01/04/1987,3.9,58.4
01/05/1987,4.07,58.6
01/06/1987,3.97,58.7
01/07/1987,3.95,58.89
01/08/1987,3.94,59.09
