"abstract","web_url","snippet","lead_paragraph","print_section","print_page","pub_date","_id","word_count","uri"
"If we could cut the price of crude in half, Iran’s puppets would think three times about launching wars with Israel that might ravage Lebanon again.","https://www.nytimes.com/2006/08/18/opinion/18friedman.html","If we could cut the price of crude in half, Iran’s puppets would think three times about launching wars with Israel that might ravage Lebanon again.","I’m not sure yet who’s the winner in the war between Hezbollah and Israel, but I know who’s the big loser: Iran’s taxpayers. What a bunch of suckers.","A","17","2006-08-18T04:00:00+0000","nyt://article/a4f1ccaf-7b50-5ecd-857d-327f319a00c3",782,"nyt://article/a4f1ccaf-7b50-5ecd-857d-327f319a00c3"
"The 87-mile-long slick stained Lebanon’s shores after Israeli warplanes bombed an oil storage depot last month.","https://www.nytimes.com/2006/08/18/world/middleeast/18spill.html","The 87-mile-long slick stained Lebanon’s shores after Israeli warplanes bombed an oil storage depot last month.","PIRAEUS, Greece, Aug. 17 — The United Nations Environment Program on Thursday pledged 50 million euros, about $64 million, to help clean up and contain a major Mediterranean oil spill caused by the conflict in Lebanon.","A","11","2006-08-18T04:00:00+0000","nyt://article/f65ee06b-a4ad-5fb2-8f6c-3d89bef1921b",439,"nyt://article/f65ee06b-a4ad-5fb2-8f6c-3d89bef1921b"
"The United Nations Environment Program on Thursday pledged 50 million euros, about $64 million, to help clean up and contain a major Mediterranean oil spill caused by the conflict in Lebanon.     The 87-mile-long slick, described by experts as the worst environmental disaster in Lebanese history, stained Lebanon's shores after Israeli warplanes bombed an oil storage depot at Jiyeh, about 19 miles south of Beirut, on July 13 and 15.  ","https://www.nytimes.com/2006/08/18/world/middleeast/un-pledges-64-million-for-cleanup-of-oil-spill-off-lebanon.html","The United Nations Environment Program on Thursday pledged 50 million euros, about $64 million, to help clean up and contain a major Mediterranean oil spill caused by the conflict in Lebanon.     The 87-mile-long slick, described by experts as the...","PIRAEUS, Greece, Aug. 17 - The United Nations Environment Program on Thursday pledged 50 million euros, about $64 million, to help clean up and contain a major Mediterranean oil spill caused by the conflict in Lebanon.","A","11","2006-08-18T05:00:00+0000","nyt://article/1414011e-dc9b-52b3-b876-d3f16f808f2f",430,"nyt://article/1414011e-dc9b-52b3-b876-d3f16f808f2f"
"I'm not sure yet who's the winner in the war between Hezbollah and Israel, but I know who's the big loser: Iran's taxpayers. What a bunch of suckers.     Isn't it obvious? As soon as the reckless war he started was over, Hezbollah's leader, Hassan Nasrallah, declared that Hezbollah would begin paying out cash to the thousands of Lebanese families whose homes were destroyed. ''We will pay compensation, a certain amount of money for every family to rent for one year, plus buy furniture for those whose homes were totally destroyed,'' said Nasrallah. ''These number 15,000.''  ","https://www.nytimes.com/2006/08/18/opinion/war-on-daddys-dime.html","I'm not sure yet who's the winner in the war between Hezbollah and Israel, but I know who's the big loser: Iran's taxpayers. What a bunch of suckers.     Isn't it obvious? As soon as the reckless war he started was over, Hezbollah's leader, Hassan...","I'm not sure yet who's the winner in the war between Hezbollah and Israel, but I know who's the big loser: Iran's taxpayers. What a bunch of suckers.","A","17","2006-08-18T05:00:00+0000","nyt://article/8a9f7858-2a57-5b5d-a780-e1e5415a6dbf",773,"nyt://article/8a9f7858-2a57-5b5d-a780-e1e5415a6dbf"
"Venezuela’s ties with Iran have become a defining element in its effort to curb American influence in developing countries.","https://www.nytimes.com/2006/08/21/world/americas/21venez.html","Venezuela’s ties with Iran have become a defining element in its effort to curb American influence in developing countries."," CARACAS, Venezuela, Aug. 20 — Venezuela has long cultivated ties with Middle Eastern governments, finding common ground in trying to keep oil prices high, but its recent engagement of Iran has become a defining element in its effort to build an alliance to curb American influence in developing countries.","A","7","2006-08-21T04:00:00+0000","nyt://article/fb068364-aa1b-560d-bcf3-4794830cd3a7",1195,"nyt://article/fb068364-aa1b-560d-bcf3-4794830cd3a7"
"Venezuela has long cultivated ties with Middle Eastern governments, finding common ground in trying to keep oil prices high, but its recent engagement of Iran has become a defining element in its effort to build an alliance to curb American influence in developing countries.     In a visit late last month to Tehran by President Hugo Chávez and his oil minister, Rafael Ramírez, the two countries agreed to produce jointly nearly a dozen products, including crude oil and medicines. In a further sign that their ties have taken on a new dimension, the two countries are speaking in a more unified voice in their criticism of Israel and the United States.  ","https://www.nytimes.com/2006/08/21/world/americas/venezuela-strengthens-its-relationships-in-the-middle-east.html","Venezuela has long cultivated ties with Middle Eastern governments, finding common ground in trying to keep oil prices high, but its recent engagement of Iran has become a defining element in its effort to build an alliance to curb American influe...","CARACAS, Venezuela, Aug. 20 - Venezuela has long cultivated ties with Middle Eastern governments, finding common ground in trying to keep oil prices high, but its recent engagement of Iran has become a defining element in its effort to build an alliance to curb American influence in developing countries.","A","7","2006-08-21T05:00:00+0000","nyt://article/d4ab799f-6728-57fb-8b24-610e23f0c87b",1188,"nyt://article/d4ab799f-6728-57fb-8b24-610e23f0c87b"
"President Hugo Chávez of Venezuela reached an agreement this week with his counterpart in Angola, José Eduardo dos Santos, for the two countries to work jointly on oil and natural gas exploration projects. Though no formal ventures have been established, the agreement would allow the national oil company Petróleos de Venezuela to assist Sonangol, Angola’s state-controlled oil group, in its offshore exploration efforts. Mr. Chávez has been trying to forge stronger political ties with West African nations through energy agreements and contracts to buy exports like cotton, in efforts to enhance Venezuela’s influence in the region and expand membership of OPEC.","https://www.nytimes.com/2006/09/02/world/africa/02briefs-004.html","President Hugo Chávez of Venezuela reached an agreement this week with his counterpart in Angola, José Eduardo dos Santos, for the two countries to work jointly on oil and natural gas exploration projects. Though no formal ventures have been estab...","President Hugo Chávez of Venezuela reached an agreement this week with his counterpart in Angola, José Eduardo dos Santos, for the two countries to work jointly on oil and natural gas exploration projects. Though no formal ventures have been established, the agreement would allow the national oil company Petróleos de Venezuela to assist Sonangol, Angola’s state-controlled oil group, in its offshore exploration efforts. Mr. Chávez has been trying to forge stronger political ties with West African nations through energy agreements and contracts to buy exports like cotton, in efforts to enhance Venezuela’s influence in the region and expand membership of OPEC.","A","2","2006-09-02T04:00:00+0000","nyt://article/7b74b9f1-9f63-5c8f-9d63-b76c22c6f9ac",103,"nyt://article/7b74b9f1-9f63-5c8f-9d63-b76c22c6f9ac"
"Pres Hugo Chavez of Venezuela reaches agreement with Pres Jose Eduardo dos Santos of Angola for two countries to work jointly on oil and natural gas exploration projects (S)","https://www.nytimes.com/2006/09/02/world/world-briefing-africa-angola-chavez-in-a-new-oil-relationship.html","Pres Hugo Chavez of Venezuela reaches agreement with Pres Jose Eduardo dos Santos of Angola for two countries to work jointly on oil and natural gas exploration projects (S)","President Hugo Chávez of Venezuela reached an agreement this week with his counterpart in Angola, José Eduardo dos Santos, for the two countries to work jointly on oil and natural gas exploration projects. Though no formal ventures have been established, the agreement would allow the national oil company Petróleos de Venezuela to assist Sonangol, Angola's state-controlled oil group, in its offshore exploration efforts. Mr. Chávez has been trying to forge stronger political ties with West African nations through energy agreements and contracts to buy exports like cotton, in efforts to enhance Venezuela's influence in the region and expand membership of OPEC. SIMON ROMERO (NYT)","A","2","2006-09-02T05:00:00+0000","nyt://article/6b6a10d5-c78b-5a82-b4ca-2f7e09c9f9da",107,"nyt://article/6b6a10d5-c78b-5a82-b4ca-2f7e09c9f9da"
"Seed and biotech companies see a big opportunity in developing corn and other crops tailored for use in ethanol and other biofuels.","https://www.nytimes.com/2006/09/08/business/08crop.html","Seed and biotech companies see a big opportunity in developing corn and other crops tailored for use in ethanol and other biofuels.","Correction Appended","C","1","2006-09-08T04:00:00+0000","nyt://article/1962df63-7257-56da-b0c0-885a69744f67",1526,"nyt://article/1962df63-7257-56da-b0c0-885a69744f67"
"Has our world become riskier in the past five years? That's almost a commonplace. But how much of that extra risk results from the terror attacks on the World Trade Center and the Pentagon almost five years ago today? That's a question that is less likely to get a unanimous answer. It's difficult to remember that far back, but some of the trends we struggle with today were already established well before Sept. 11, 2001. Stock markets were shaky, the twin result of the bursting of the dot-com bubble in 2000 and the rumblings from Houston that one of the biggest players in financial markets, Enron, had been built on sand. Major economies, which sped forward on the adrenaline of the Internet, were beginning to slow down now that the easy gains in productivity and revenue had been booked. Threats to public health didn't start with 9/11; mad cow disease was claiming lives in Britain and Continental Europe, and hoof-and-mouth disease was decimating herds around the world. As for one of the greatest sources of financial insecurity - pensions - most national systems, and many corporate ones, were already beginning to groan under the weight of future liabilities. Has our world become riskier since Sept. 11? No question. But we were heading in that direction anyway.","https://www.nytimes.com/2006/09/08/business/worldbusiness/08iht-wbview09.2743114.html","","Has our world become riskier in the past five years? That's almost a commonplace. But how much of that extra risk results from the terror attacks on the World Trade Center and the Pentagon almost five years ago today? That's a question that is less likely to get a unanimous answer. It's difficult to remember that far back, but some of the trends we struggle with today were already established well before Sept. 11, 2001. Stock markets were shaky, the twin result of the bursting of the dot-com bubble in 2000 and the rumblings from Houston that one of the biggest players in financial markets, Enron, had been built on sand. Major economies, which sped forward on the adrenaline of the Internet, were beginning to slow down now that the easy gains in productivity and revenue had been booked. Threats to public health didn't start with 9/11; mad cow disease was claiming lives in Britain and Continental Europe, and hoof-and-mouth disease was decimating herds around the world. As for one of the greatest sources of financial insecurity - pensions - most national systems, and many corporate ones, were already beginning to groan under the weight of future liabilities. Has our world become riskier since Sept. 11? No question. But we were heading in that direction anyway.",NA,NA,"2006-09-08T05:00:00+0000","nyt://article/0ac87f65-47e0-509e-a89b-72d4d631132a",572,"nyt://article/0ac87f65-47e0-509e-a89b-72d4d631132a"
"More miles to the bushel.","https://www.nytimes.com/2006/09/08/business/worldbusiness/08iht-crops.2743148.html","","More miles to the bushel.",NA,NA,"2006-09-08T05:00:00+0000","nyt://article/0e7c189f-3fcf-518f-93ec-b7b0ca73be09",655,"nyt://article/0e7c189f-3fcf-518f-93ec-b7b0ca73be09"
"Has our world become riskier in the past five years? That's almost a given. But how much of that extra risk results from the terror attacks on the World Trade Center and the Pentagon almost five years ago today? That's a question that is less likely to get a unanimous answer. It's difficult to remember that far back, but some of the trends we struggle with today were already established well before Sept. 11, 2001. Stock markets were shaky, the twin result of the bursting of the dot-com bubble in 2000 and the rumblings from Houston that one of the biggest players in financial markets, Enron, had been built on sand. Major economies, which sped forward on the adrenaline of the Internet, were beginning to slow down now that the easy gains in productivity and revenue had been booked. Threats to public health didn't start with 9/11; mad cow disease was claiming lives in Britain and Continental Europe, and hoof-and-mouth disease was decimating herds around the world. As for one of the greatest sources of financial insecurity - pensions - most national systems, and many corporate ones, were already beginning to groan under the weight of future liabilities. Has our world become riskier since Sept. 11? No question. But we were heading in that direction anyway.","https://www.nytimes.com/2006/09/08/business/worldbusiness/08iht-wbview09.2745846.html","","Has our world become riskier in the past five years? That's almost a given. But how much of that extra risk results from the terror attacks on the World Trade Center and the Pentagon almost five years ago today? That's a question that is less likely to get a unanimous answer. It's difficult to remember that far back, but some of the trends we struggle with today were already established well before Sept. 11, 2001. Stock markets were shaky, the twin result of the bursting of the dot-com bubble in 2000 and the rumblings from Houston that one of the biggest players in financial markets, Enron, had been built on sand. Major economies, which sped forward on the adrenaline of the Internet, were beginning to slow down now that the easy gains in productivity and revenue had been booked. Threats to public health didn't start with 9/11; mad cow disease was claiming lives in Britain and Continental Europe, and hoof-and-mouth disease was decimating herds around the world. As for one of the greatest sources of financial insecurity - pensions - most national systems, and many corporate ones, were already beginning to groan under the weight of future liabilities. Has our world become riskier since Sept. 11? No question. But we were heading in that direction anyway.",NA,NA,"2006-09-08T05:00:00+0000","nyt://article/477524b5-d671-524b-aac6-db107f506dc6",571,"nyt://article/477524b5-d671-524b-aac6-db107f506dc6"
"<i>Security Council inaction on Darfur</i>","https://www.nytimes.com/2006/09/08/opinion/08iht-edother**.2745762.html","","<i>Security Council inaction on Darfur</i>",NA,NA,"2006-09-08T05:00:00+0000","nyt://article/5a3c4c6e-838b-5864-adaa-c7be01ccf56c",471,"nyt://article/5a3c4c6e-838b-5864-adaa-c7be01ccf56c"
"More miles to the bushel.      That is the new mission of crop scientists. In an era of $3-a-gallon gasoline and growing concern about global warming from fossil fuels, seed and biotechnology companies see a big new opportunity in developing corn and other crops tailored for use in ethanol and other biofuels.  ","https://www.nytimes.com/2006/09/08/business/redesigning-crops-to-harvest-fuel.html","More miles to the bushel.      That is the new mission of crop scientists. In an era of $3-a-gallon gasoline and growing concern about global warming from fossil fuels, seed and biotechnology companies see a big new opportunity in developing corn ...","Correction Appended","C","1","2006-09-08T05:00:00+0000","nyt://article/a69d51bd-6c16-58bd-a705-6e9e3c2882e4",1511,"nyt://article/a69d51bd-6c16-58bd-a705-6e9e3c2882e4"
